"","state","name","vote_percent","market_close","poll_estimate","poll_trend_adjusted","final_rank","contest_date","date_dropped","winner","poll_cutoff","viable_candidates"
"77","California","Tulsi Gabbard",0.006,0.01,0.01126549,0.0113,9,2020-03-03,2020-03-19,"No",0,4
"78","California","Michael Bloomberg",0.122,0.01,0.132518,0.1327,4,2020-03-03,2020-03-04,"No",1,4
"79","Arkansas","Joe Biden",0.405,0.82,0.185,0.1787,1,2020-03-03,NA,"Yes",1,4
"80","Arkansas","Bernie Sanders",0.224,0.14,0.164,0.2253,2,2020-03-03,NA,"No",1,4
"81","Arkansas","Elizabeth Warren",0.1,0.01,0.08900001,0.0927,4,2020-03-03,2020-03-05,"No",1,4
"82","Arkansas","Michael Bloomberg",0.167,0.1,0.196,0.2022,3,2020-03-03,2020-03-04,"No",1,4
"83","Arizona","Joe Biden",0.444,0.97,0.4886149,0.5522,1,2020-03-17,NA,"Yes",1,2
"84","Arizona","Bernie Sanders",0.329,0.03,0.2915187,0.3178,2,2020-03-17,NA,"No",1,2
"85","Arizona","Tulsi Gabbard",0.005,0.01,0.01042096,0.0137,7,2020-03-17,2020-03-19,"No",0,2
"86","Massachusetts","Joe Biden",0.336,0.05,0.1120145,0.1201,1,2020-03-03,NA,"Yes",1,4
"87","Massachusetts","Bernie Sanders",0.267,0.75,0.2558294,0.2662,2,2020-03-03,NA,"No",1,4
"88","Massachusetts","Elizabeth Warren",0.214,0.23,0.2055951,0.2099,3,2020-03-03,2020-03-05,"No",1,4
"89","Massachusetts","Tulsi Gabbard",0.008,0.01,0.01107272,0.0107,7,2020-03-03,2020-03-19,"No",0,4
"90","Massachusetts","Michael Bloomberg",0.118,0.01,0.1210835,0.1172,4,2020-03-03,2020-03-04,"No",1,4
"91","Alabama","Joe Biden",0.633,0.96,0.4456832,0.3367,1,2020-03-03,NA,"Yes",1,2
"92","Alabama","Bernie Sanders",0.165,0.04,0.1083586,0.1918,2,2020-03-03,NA,"No",1,2
"93","Alabama","Elizabeth Warren",0.057,0.01,0.04858304,0.0846,4,2020-03-03,2020-03-05,"No",0,2
"94","Alabama","Tulsi Gabbard",0.002,0.01,0,0.0016,8,2020-03-03,2020-03-19,"No",0,2
"95","Nevada","Joe Biden",0.202,0.04,0.1471368,0.1436,2,2020-02-22,NA,"No",1,5
"96","Nevada","Bernie Sanders",0.468,0.9,0.3026876,0.3046,1,2020-02-22,NA,"Yes",1,5
"97","Nevada","Elizabeth Warren",0.097,0.02,0.1191668,0.1177,4,2020-02-22,2020-03-05,"No",1,5
"98","Nevada","Amy Klobuchar",0.042,0.01,0.08794688,0.0889,6,2020-02-22,2020-03-02,"No",1,5
"99","Nevada","Pete Buttigieg",0.143,0.07,0.1520566,0.1532,3,2020-02-22,2020-03-01,"No",1,5
"100","New Hampshire","Joe Biden",0.084,0.01,0.1224643,0.1195,5,2020-02-11,NA,"No",1,5
"101","New Hampshire","Bernie Sanders",0.257,0.81,0.2583232,0.2586,1,2020-02-11,NA,"Yes",1,5
"102","New Hampshire","Elizabeth Warren",0.092,0.01,0.1267299,0.1258,4,2020-02-11,2020-03-05,"No",1,5
"103","New Hampshire","Amy Klobuchar",0.198,0.02,0.1028283,0.1027,3,2020-02-11,2020-03-02,"No",1,5
"104","New Hampshire","Andrew Yang",0.028,0.01,0.03012269,0.0299,8,2020-02-11,2020-02-11,"No",0,5
"105","New Hampshire","Pete Buttigieg",0.244,0.19,0.2131018,0.2138,2,2020-02-11,2020-03-01,"No",1,5
"106","New Hampshire","Tulsi Gabbard",0.033,0.01,0.02885877,0.0288,7,2020-02-11,2020-03-19,"No",0,5
"107","New Hampshire","Deval Patrick",0.004,0.01,0.006850718,0.0067,10,2020-02-11,2020-02-12,"No",0,5
